No.,종목코드,종목명,수량(주),평가금액(원),비중(%)
411,US1508701034,CELANESE CORP,2.480000,493613,0.03%
412,US15677J1088,Dayforce INC,3.880000,370743,0.03%
413,US1598641074,Charles River Laboratories Int,1.270000,417352,0.03%
414,US1746101054,Citizens Financial Group Inc,11.550000,477794,0.03%
415,US2058871029,CONAGRA BRANDS INC,11.880000,447171,0.03%
416,US25754A2015,Domino's Pizza Inc,0.860000,489925,0.03%
417,US2971781057,ESSEX PROPERTY TST ,1.600000,489701,0.03%
418,US30034W1062,Evergy Inc,5.700000,381307,0.03%
419,US3156161024,F5 NETWORKS INC,1.470000,361945,0.03%
420,US37959E1029,Globe Life Inc,2.150000,364459,0.03%
421,US4262811015,Jack Henry & Associates Inc,1.820000,420629,0.03%
422,US44107P1049,HOST MARRIOTT CORP,17.480000,480673,0.03%
423,US4464131063,HUNTINGTON INGALLS INDUSTRIES INC,0.990000,378559,0.03%
424,US45337C1027,Incyte Corp,4.640000,376170,0.03%
425,US45784P1012,Insulet Corp,1.750000,459188,0.03%
426,US4601461035,International Paper Co,8.610000,395252,0.03%
427,US4606901001,Interpublic Group of Cos Inc/The,9.500000,410314,0.03%
428,US48203R1041,Juniper Networks Inc,7.910000,391228,0.03%
429,US4932671088,KeyCorp,23.210000,443307,0.03%
430,US49446R1095,KIMCO REALTY,15.410000,406317,0.03%
431,US5018892084,LKQ Corp,6.660000,459710,0.03%
432,US5380341090,Live Nation Entertainment Inc,3.520000,438011,0.03%
433,US5404241086,Loews Corp,4.540000,452661,0.03%
434,US5529531015,MGM Resorts International,6.770000,382331,0.03%
435,US5658491064,Marathon Oil Corp,14.520000,463440,0.03%
436,US59522J1034,MID AMERICA APARTMT,2.890000,486939,0.03%
437,US60871R2094,MOLSON_COORS_B,4.610000,384476,0.03%
438,US6293775085,NRG Energy Inc,5.600000,386692,0.03%
439,US65473P1057,NiSource Inc,10.240000,354910,0.03%
440,US6556631025,Nordson Corp,1.340000,487726,0.03%
441,US6687711084,GEN DIGITAL INC,13.990000,405000,0.03%
442,US7140461093,Revvity Inc,3.090000,429251,0.03%
443,US73278L1052,Pool Corp,0.960000,484373,0.03%
444,US74736K1016,Qorvo Inc,2.430000,366934,0.03%
445,US74834L1008,QUEST DIAGNOSTICS,2.790000,465448,0.03%
446,US7757111049,Rollins Inc,6.970000,388059,0.03%
447,US8326964058,JM SMUCKER CO/THE-NEW COMMON,2.640000,436735,0.03%
448,US8330341012,Snap-on Inc,1.320000,476529,0.03%
449,US8545021011,Stanley Black & Decker Inc,3.800000,448475,0.03%
450,US8760301072,Tapestry Inc,5.680000,361371,0.03%
451,US8793691069,Teleflex Inc,1.170000,370163,0.03%
452,US9026531049,UDR Inc,7.530000,362310,0.03%
453,US9100471096,United Airlines Holdings Inc,8.160000,491567,0.03%
454,US96145D1054,Westrock Co,6.360000,371959,0.03%
455,US9892071054,Zebra Technologies Corp,1.270000,472424,0.03%
456,BMG491BT1088,INVESCO LTD,11.150000,231810,0.02%
457,BMG667211046,Norwegian Cruise Line Holdings Ltd,10.570000,229882,0.02%
458,KRD010010001,현금성자산,218261.000000,218261,0.02%
459,US02376R1023,American Airlines Group Inc,16.240000,329419,0.02%
460,US03743Q1085,APA Corp,7.600000,305693,0.02%
461,US04621X1081,Assurant Inc,1.320000,311783,0.02%
462,US0708301041,BATH & BODY WORKS INC,5.650000,351115,0.02%
463,US0905722072,Bio-Rad Laboratories Inc,0.510000,229756,0.02%
464,US0997241064,BORGWARNER INC,5.850000,237561,0.02%
465,US1011211018,BOSTON PROPERTIES,3.600000,313514,0.02%
466,US1156372096,Brown-Forman Corp,4.560000,350930,0.02%
467,US12541W2098,CH Robinson Worldwide Inc,2.890000,283301,0.02%
468,US12769G1004,Caesars Entertainment Inc,5.350000,295301,0.02%
469,US1331311027,CAMDEN PROPERTY TST,2.660000,335493,0.02%
470,US1344291091,Campbell Soup Co,4.890000,274662,0.02%
471,US1488061029,Catalent Inc,4.480000,348232,0.02%
472,US2003401070,Comerica Inc,3.270000,217444,0.02%
473,US23918K1088,DaVita Inc,1.340000,219143,0.02%
474,US24906P1093,DENTSPLY SIRONA Inc,5.270000,235472,0.02%
475,US2774321002,EASTMAN CHEMICAL CO,2.940000,338134,0.02%
476,US29786A1060,Etsy Inc,2.960000,278225,0.02%
477,US3024913036,FMC Corp,3.090000,212425,0.02%
478,US35137L1052,Twenty-First Century Fox Inc,6.130000,243547,0.02%
479,US3546131018,FRANKLIN_RESOURCES,6.990000,252316,0.02%
480,US3687361044,Generac Holdings Inc,1.550000,230545,0.02%
481,US4180561072,Hasbro Inc,3.240000,216311,0.02%
482,US42250P1030,Healthpeak Properties Inc,13.560000,303031,0.02%
483,US4404521001,Hormel Foods Corp,7.200000,290179,0.02%
484,US57060D1081,MarketAxess Holdings Inc,0.940000,267180,0.02%
485,US57667L1070,Match Group Inc,6.740000,324030,0.02%
486,US61945C1036,Mosaic Co/The,8.110000,347795,0.02%
487,US65249B1098,News Corp,9.430000,332735,0.02%
488,US70432V1026,Paycom Software Inc,1.220000,295064,0.02%
489,US7234841010,Pinnacle West Capital Corp,2.810000,262593,0.02%
490,US7512121010,Ralph Lauren Corp,1.010000,251560,0.02%
491,US7588491032,REGENCY CENTERS CORP,4.080000,331639,0.02%
492,US7703231032,ROBERT HALF INTERNATIONAL INC,2.660000,281324,0.02%
493,US8064071025,Henry Schein Inc,3.240000,332402,0.02%
494,US8318652091,A.O SMITH,3.040000,326167,0.02%
495,US9139031002,Universal Hlth Svc B ,1.550000,339351,0.02%
496,US9831341071,Wynn Resorts Ltd,2.410000,328533,0.02%
497,US35137L2043,Fox Corp,3.270000,119298,0.01%
498,US6081901042,Mohawk Industries Inc,1.320000,200165,0.01%
499,US65249B2088,News Corp,2.860000,105178,0.01%
500,US9182041080,VF Corp,8.210000,173747,0.01%
501,US92556H2067,ViacomCBS Inc,11.980000,186720,0.01%
502,US9633201069,WHIRLPOOL CORP,1.370000,203262,0.01%
503,US9897011071,Zions Bancorp NA,3.670000,193681,0.01%
504,CASH00000001,100%현금설정액,1410367445.000000,1410367445, 
